title,tutors,students,assignment_date,presentation_date,grade,repository_url
GII_O_MA_23.30. Comparador de sistemas de despliegue de software mediante APIs,José Manuel Aroca Fernández,1,05/10/2023,15/07/2024,7.5,https://github.com/mariolopezmatamala/cloud-duo-aws-gcp
GII_O_MA_23.37. Prototipo de reconocimiento de actividades en base a señales cerebrales,"Bruno Baruque Zanón, Jesús Enrique Sierra García",1,20/02/2024,15/07/2024,7.5,https://github.com/jpg1003/AnalisisEEG
GII_O_MA_24.01. Gestión de cartera de opciones,José Ignacio Santos Martín,1,12/02/2024,15/07/2024,5.8,https://github.com/cbr1005/TFG.git
GII_O_MA_24.02. Estudio y Configuración de un sistema ELK,"Jesus Manuel Maudes Raedo, Antonio Jesús Canepa Oneto",1,16/02/2024,15/07/2024,7.3,https://github.com/hds1001/Estudio-y-configuracion-de-un-sistema-ELK
GII_O_MA_24.03. Herramienta de modelado de Bases de Datos relacionales con Crows Foot,Jesus Manuel Maudes Raedo,1,29/02/2024,15/07/2024,7.6,https://github.com/jrp1004/CrowsFoot_JuanRomera_TFG
GII_O_MA_24.05. Herramienta de modelado E/R,Jesus Manuel Maudes Raedo,1,21/02/2024,15/07/2024,8.2,https://github.com/rubenmate/draw-entity-relation
GII_O_MA_24.06. Inteligencia Artificial para seguridad IoT,"Rubén Ruiz González, Alejandro Merino Gómez",1,22/02/2024,15/07/2024,7.2,https://github.com/eddddddp/AI-for-IoT-security
GII_O_MA_24.07. IA para detección temprana de incidentes de ciberseguridad con Telegram como fuente de datos,César Ignacio García Osorio,1,26/02/2024,15/07/2024,9.1,https://github.com/iraty/AI-for-early-detection-in-cybersecurity
GII_O_MC_24.10. Implementación de una Prueba de Concepto (PoC) de Manage Engine PAM para la Gestión Eficiente de Acceso Privilegiado en Organizaciones,"Luis Antonio Antolín Sánchez, Livan Rodriguez Regueria",1,09/04/2024,15/07/2024,5.4,https://github.com/avs1002/TFG-PoC-de-PAM-Alejandro-Villar-Solla
Sistema de extracción y gestión automatizada de requisitos desde documentos PDF para proyectos de ingeniería,"José Ignacio Santos Martín, José Manuel Galán Ordax",1,15/07/2024,27/02/2025,7.2,https://github.com/Esti-D/TFG-GestionRequisitosIngenieria
SatelDataReport. Desarrollo de una aplicación para la realización de informes de ingeniería,"José Ignacio Santos Martín, José Manuel Galán Ordax",1,15/07/2024,27/02/2025,7,https://github.com/SergioOsuna/SatelDataReport
Eco City Tours. Aplicación móvil para la generación de rutas turísticas sostenibles propuestas por modelos de lenguaje de gran escala,Carlos López Nozal ,1,15/07/2024,27/02/2025,9.2,https://github.com/fps1001/TFGII_FPisot
Gestión de formación,José Ignacio Santos Martín,1,15/07/2024,27/02/2025,8.4,https://github.com/VictorVaqueroUBU/TFG
Herramienta para la evaluación automática de entregas de programación con rúbricas y LLMScore,Raúl Marticorena Sánchez,1,27/02/2025,15/06/2025,8.6,https://github.com/PaacDev/IAGScore
Generación automática de mapas de obstaáculos para robots,"Jesús Enrique Sierra García, Bruno Baruque Zanón",1,27/02/2025,15/06/2025,7.2,https://github.com/juanpe316/TFG_Generacion_de_mapas
VRLearTobot Laboratorio Virtual de programación y robótica,Carlos López Nozal,1,27/02/2025,15/06/2025,8,https://github.com/LuisIgnaciodeLunaGomez/VRLearnTOBOT
Herramienta para trabajar de manera sincronizada en GraphQL y base de daotos relacional,Pedro Renedo Fernández,1,27/02/2025,15/06/2025,7.6,https://github.com/sufacerlabs/graphqlstore
F1nalLap,César Represa Pérez,1,27/02/2025,15/06/2025,7.2,https://github.com/Ixo22/F1nalLap
GCA. Agente para la Gestión Centralizada de la Configuración de Red en las aulas.,Pedro Renedo Fernández,1,27/02/2025,15/06/2025,8.4,https://github.com/rmg1008/GCA
Modelo cinemático inverso de un robot GoFa mediante redes neuronales,"Bruno Baruque Zanón, Jesús Enrique Sierra García",1,27/03/2025,15/07/2025,4.3,https://github.com/2024-25-tfgii-online-jun/TFG_MCI_GoFa
PertubNet. Herramienta para  la simulación de perturbaciones de comunicaciones en redes informáticas,"Bruno Baruque Zanón, Jesús Enrique Sierra García",1,27/03/2025,15/07/2025,4.5,https://github.com/amm1076/TFG-DisturbNet
Imágenes de Docker genéricas y securizadas en un entorno de CI/CD,José Manuel Galán Ordax,1,27/03/2025,15/07/2025,8.3,https://github.com/2024-25-tfgii-online-may/UBU-AIBusinessONO
Herramienta de anotación para entrenamiento de modelos de inteligencia artificial de detección de objetos,Bruno Baruque Zanón,1,27/03/2025,15/07/2025,4.5,https://github.com/jsg1010/JorgeSevillaTFG
